"Date","Price","Open","High","Low","Vol.","Change %"
"07/06/2022","101.37","105.04","105.39","99.76","1.50K","-2.11%"
"07/05/2022","103.55","113.92","114.90","104.02","1.53K","-9.18%"
"07/04/2022","114.02","111.33","114.43","111.33","0.83K","2.35%"
"07/01/2022","111.40","107.91","111.49","107.91","1.19K","-6.00%"
"06/30/2022","118.51","117.94","119.00","117.94","0.49K","0.08%"
"06/29/2022","118.42","119.60","119.60","118.93","2.77K","-1.82%"
"06/28/2022","120.62","120.68","120.68","118.76","2.38K","0.56%"
"06/27/2022","119.95","118.78","119.21","117.45","3.41K","1.81%"
"06/24/2022","117.82","113.62","118.23","113.62","1.00K","4.34%"
"06/23/2022","112.92","111.70","116.07","111.70","0.91K","0.30%"
"06/22/2022","112.58","110.34","111.25","109.21","2.47K","-1.30%"
"06/21/2022","114.06","115.21","115.24","113.77","0.23K","0.40%"
"06/20/2022","113.61","111.65","113.73","111.40","0.54K","0.98%"
"06/17/2022","112.51","119.29","119.96","112.92","0.91K","-5.62%"
"06/16/2022","119.21","118.23","118.23","116.42","0.74K","1.88%"
"06/15/2022","117.01","120.34","120.34","117.06","0.55K","-2.46%"
"06/14/2022","119.96","122.22","123.34","118.52","0.74K","-1.15%"
"06/13/2022","121.35","119.63","122.43","118.62","0.75K","0.07%"
"06/10/2022","121.27","121.63","122.54","120.97","1.12K","-0.97%"
"06/09/2022","122.46","122.85","123.10","122.17","0.98K","-0.04%"
"06/08/2022","122.51","119.90","122.94","119.83","0.50K","2.32%"
"06/07/2022","119.73","119.09","119.82","118.13","0.90K","1.17%"
"06/06/2022","118.34","118.83","119.36","118.34","1.01K","0.09%"
"06/03/2022","118.23","115.27","119.85","114.95","1.17K","2.00%"
"06/02/2022","115.91","112.98","116.45","111.55","0.53K","1.09%"
"06/01/2022","114.66","114.37","116.35","114.23","0.48K","-2.95%"
"05/31/2022","118.14","118.73","118.73","117.95","1.47K","0.96%"
"05/30/2022","117.02","115.22","116.02","115.22","2.65K","1.33%"
"05/27/2022","115.48","113.70","114.03","113.55","1.16K","2.18%"
"05/26/2022","113.02","110.85","110.89","110.14","0.92K","1.80%"
"05/25/2022","111.02","111.54","111.62","111.14","2.67K","0.14%"
"05/24/2022","110.86","109.33","110.34","109.33","3.36K","-0.35%"
"05/23/2022","111.25","112.18","112.18","109.96","2.05K","0.19%"
"05/20/2022","111.04","110.02","111.25","109.79","0.81K","0.16%"
"05/19/2022","110.86","109.17","109.39","104.96","1.27K","3.09%"
"05/18/2022","107.54","111.07","112.13","107.91","1.00K","-2.45%"
"05/17/2022","110.24","112.60","113.57","109.50","0.91K","-2.21%"
"05/16/2022","112.73","109.18","112.93","108.49","0.95K","1.72%"
"05/13/2022","110.82","108.60","110.34","107.46","1.86K","3.49%"
"05/12/2022","107.08","106.88","107.13","104.66","0.73K","-0.11%"
"05/11/2022","107.20","102.06","107.54","102.06","1.52K","5.16%"
"05/10/2022","101.94","103.59","106.18","101.59","1.75K","-2.85%"
"05/09/2022","104.93","111.68","111.68","104.12","0.68K","-5.82%"
"05/06/2022","111.42","108.86","112.30","108.78","1.04K","1.57%"
"05/05/2022","109.70","109.14","111.10","109.09","1.02K","0.95%"
"05/04/2022","108.67","106.30","107.98","106.20","0.97K","5.13%"
"05/03/2022","103.37","105.88","105.88","103.13","0.93K","-2.60%"
"05/02/2022","106.13","105.54","106.05","102.33","0.60K","-1.12%"
"04/29/2022","107.33","108.46","108.46","106.51","1.39K","0.07%"
"04/28/2022","107.26","104.08","104.90","104.00","4.53K","3.06%"
"04/27/2022","104.08","104.34","104.37","104.11","0.58K","-0.49%"
"04/26/2022","104.59","101.87","101.91","101.08","3.13K","1.64%"
"04/25/2022","102.90","104.12","104.12","102.12","1.90K","-3.87%"
"04/22/2022","107.04","107.51","107.64","107.31","1.74K","-1.44%"
"04/21/2022","108.60","106.85","109.27","106.85","1.41K","2.17%"
"04/20/2022","106.29","107.21","108.00","106.70","1.19K","-0.11%"
"04/19/2022","106.41","111.54","111.54","106.48","1.37K","-5.02%"
"04/18/2022","112.04","110.72","111.63","109.92","0.60K","1.06%"
"04/14/2022","110.87","107.35","111.01","106.35","0.82K","2.98%"
"04/13/2022","107.66","103.68","107.75","103.68","2.28K","3.97%"
"04/12/2022","103.55","98.48","103.70","98.48","1.63K","6.59%"
